iter	Passed	Remaining
0	204	102071
1	278	69333
2	337	55837
3	418	51954
4	491	48609
5	562	46318
6	636	44835
7	710	43710
8	786	42926
9	860	42143
10	923	41060
11	996	40515
12	1081	40516
13	1157	40181
14	1230	39779
15	1303	39436
16	1376	39103
17	1456	38995
18	1532	38791
19	1605	38530
20	1678	38295
21	1752	38081
22	1826	37889
23	1907	37824
24	1980	37637
25	2052	37424
26	2125	37229
27	2196	37027
28	2269	36859
29	2340	36669
30	2413	36511
31	2485	36357
32	2555	36164
33	2627	36018
34	2711	36027
35	2800	36096
36	2878	36018
37	2949	35864
38	3023	35743
39	3104	35697
40	3178	35581
41	3253	35474
42	3333	35430
43	3409	35331
44	3485	35242
45	3558	35123
46	3632	35007
47	3711	34945
48	3798	34963
49	3885	34966
50	3963	34894
51	4039	34800
52	4115	34709
53	4201	34704
54	4242	34324
55	4269	33850
56	4341	33738
57	4410	33609
58	4482	33504
59	4554	33397
60	4641	33400
61	4716	33319
62	4797	33274
63	4873	33200
64	4975	33299
65	5095	33505
66	5169	33406
67	5245	33326
68	5332	33309
69	5408	33220
70	5482	33128
71	5563	33073
72	5639	32984
73	5722	32943
74	5806	32904
75	5929	33080
76	6025	33101
77	6210	33600
78	6290	33520
79	6369	33437
80	6441	33319
81	6509	33181
82	6584	33081
83	6656	32967
84	6734	32878
85	6805	32763
86	6843	32488
87	6920	32401
88	6996	32309
89	7071	32215
90	7192	32327
91	7301	32381
92	7380	32298
93	7454	32198
94	7533	32116
95	7609	32023
96	7690	31952
97	7764	31850
98	7841	31762
99	7920	31680
100	7992	31575
101	8065	31472
102	8139	31370
103	8221	31304
104	8295	31208
105	8371	31116
106	8444	31016
107	8512	30898
108	8587	30803
109	8660	30705
110	8735	30614
111	8818	30550
112	8895	30466
113	8974	30385
114	9061	30335
115	9136	30246
116	9209	30146
117	9292	30082
118	9365	29986
119	9439	29891
120	9515	29804
121	9590	29713
122	9664	29621
123	9739	29533
124	9819	29458
125	9893	29367
126	9970	29284
127	10044	29191
128	10116	29093
129	10187	28995
130	10259	28898
131	10331	28801
132	10407	28718
133	10479	28622
134	10548	28520
135	10623	28434
136	10695	28339
137	10781	28281
138	10854	28189
139	10927	28099
140	11003	28016
141	11081	27936
142	11162	27867
143	11236	27778
144	11308	27685
145	11383	27600
146	11465	27532
147	11537	27441
148	11613	27357
149	11701	27303
150	11773	27211
151	11846	27123
152	11935	27068
153	12014	26994
154	12084	26897
155	12158	26810
156	12228	26715
157	12299	26623
158	12371	26531
159	12442	26439
160	12510	26342
161	12585	26257
162	12658	26172
163	12730	26081
164	12806	26001
165	12879	25915
166	12953	25829
167	13036	25761
168	13108	25673
169	13182	25589
170	13256	25504
171	13329	25419
172	13400	25329
173	13473	25243
174	13549	25162
175	13622	25077
176	13696	24993
177	13771	24912
178	13845	24829
179	13921	24749
180	13993	24662
181	14063	24572
182	14136	24487
183	14208	24400
184	14280	24315
185	14348	24222
186	14419	24136
187	14488	24044
188	14563	23964
189	14637	23882
190	14713	23803
191	14786	23719
192	14858	23634
193	14933	23555
194	15035	23516
195	15122	23455
196	15194	23370
197	15275	23298
198	15350	23218
199	15433	23149
200	15506	23067
201	15582	22988
202	15666	22921
203	15744	22844
204	15825	22772
205	15898	22690
206	15969	22603
207	16044	22523
208	16125	22452
209	16196	22366
210	16275	22292
211	16345	22204
212	16432	22141
213	16511	22067
214	16594	21997
215	16669	21916
216	16743	21835
217	16815	21752
218	16890	21671
219	16976	21606
220	17048	21523
221	17124	21443
222	17197	21362
223	17270	21280
224	17345	21200
225	17414	21113
226	17488	21032
227	17569	20959
228	17648	20885
229	17730	20813
230	17802	20731
231	17876	20650
232	17950	20569
233	18020	20485
234	18093	20403
235	18164	20319
236	18236	20236
237	18315	20162
238	18387	20080
239	18459	19997
240	18533	19918
241	18609	19839
242	18683	19760
243	18756	19679
244	18844	19613
245	18917	19532
246	18997	19458
247	19072	19379
248	19147	19301
249	19230	19230
250	19305	19151
251	19378	19071
252	19469	19007
253	19544	18928
254	19629	18859
255	19709	18785
256	19786	18709
257	19867	18635
258	19955	18569
259	20032	18491
260	20110	18415
261	20184	18335
262	20259	18256
263	20329	18173
264	20401	18092
265	20471	18009
266	20547	17930
267	20620	17850
268	20694	17771
269	20768	17691
270	20840	17610
271	20924	17539
272	21000	17462
273	21075	17383
274	21150	17305
275	21232	17232
276	21305	17152
277	21383	17075
278	21471	17008
279	21544	16927
280	21617	16847
281	21693	16770
282	21764	16689
283	21841	16611
284	21912	16530
285	21983	16449
286	22052	16366
287	22120	16283
288	22191	16202
289	22263	16121
290	22333	16039
291	22407	15961
292	22478	15880
293	22556	15805
294	22645	15737
295	22724	15661
296	22797	15582
297	22880	15509
298	22959	15434
299	23036	15357
300	23113	15280
301	23190	15204
302	23281	15136
303	23353	15056
304	23428	14979
305	23504	14901
306	23575	14821
307	23651	14743
308	23725	14665
309	23799	14586
310	23874	14508
311	23942	14426
312	24016	14348
313	24087	14268
314	24160	14189
315	24229	14108
316	24299	14027
317	24371	13948
318	24442	13868
319	24516	13790
320	24605	13720
321	24679	13642
322	24768	13572
323	24843	13495
324	24917	13416
325	24993	13340
326	25064	13260
327	25138	13182
328	25213	13104
329	25288	13027
330	25371	12954
331	25443	12874
332	25518	12797
333	25592	12719
334	25675	12646
335	25751	12568
336	25824	12490
337	25896	12411
338	25969	12333
339	26039	12253
340	26111	12175
341	26188	12098
342	26262	12021
343	26340	11944
344	26409	11865
345	26486	11788
346	26560	11711
347	26636	11634
348	26716	11559
349	26796	11484
350	26872	11407
351	26946	11329
352	27037	11259
353	27110	11180
354	27183	11103
355	27258	11025
356	27333	10948
357	27408	10871
358	27484	10794
359	27559	10717
360	27638	10642
361	27716	10565
362	27796	10490
363	27876	10415
364	27960	10341
365	28035	10264
366	28113	10188
367	28186	10110
368	28259	10032
369	28331	9954
370	28404	9876
371	28481	9800
372	28553	9721
373	28628	9644
374	28715	9571
375	28788	9493
376	28861	9416
377	28933	9338
378	29009	9261
379	29084	9184
380	29156	9106
381	29230	9029
382	29314	8955
383	29386	8877
384	29466	8801
385	29544	8725
386	29616	8647
387	29690	8570
388	29760	8492
389	29835	8415
390	29908	8337
391	29981	8260
392	30050	8181
393	30119	8103
394	30192	8025
395	30274	7950
396	30347	7873
397	30426	7797
398	30503	7721
399	30576	7644
400	30667	7571
401	30741	7494
402	30813	7416
403	30890	7340
404	30962	7262
405	31035	7185
406	31108	7108
407	31182	7031
408	31257	6954
409	31329	6877
410	31405	6800
411	31482	6724
412	31554	6647
413	31629	6570
414	31701	6492
415	31774	6416
416	31849	6339
417	31920	6261
418	31990	6184
419	32063	6107
420	32133	6029
421	32199	5951
422	32276	5875
423	32345	5797
424	32424	5721
425	32500	5645
426	32573	5568
427	32656	5493
428	32729	5416
429	32804	5340
430	32884	5264
431	32959	5187
432	33034	5111
433	33108	5034
434	33189	4959
435	33263	4882
436	33338	4806
437	33409	4729
438	33486	4653
439	33560	4576
440	33634	4499
441	33708	4423
442	33789	4347
443	33865	4271
444	33935	4194
445	34004	4117
446	34077	4040
447	34148	3963
448	34222	3887
449	34294	3810
450	34365	3733
451	34442	3657
452	34530	3582
453	34614	3507
454	34695	3431
455	34770	3355
456	34843	3278
457	34917	3202
458	34994	3125
459	35067	3049
460	35142	2973
461	35215	2896
462	35289	2820
463	35366	2743
464	35440	2667
465	35532	2592
466	35620	2517
467	35701	2441
468	35777	2364
469	35856	2288
470	35932	2212
471	36009	2136
472	36085	2059
473	36156	1983
474	36227	1906
475	36297	1830
476	36366	1753
477	36437	1677
478	36520	1601
479	36597	1524
480	36671	1448
481	36743	1372
482	36819	1295
483	36901	1219
484	36977	1143
485	37063	1067
486	37140	991
487	37213	915
488	37288	838
489	37363	762
490	37438	686
491	37515	610
492	37590	533
493	37677	457
494	37749	381
495	37822	305
496	37892	228
497	37965	152
498	38038	76
499	38109	0
