iter	Passed	Remaining
0	40	19963
1	88	21986
2	135	22428
3	145	18047
4	192	19017
5	239	19711
6	289	20403
7	345	21222
8	370	20211
9	381	18686
10	409	18196
11	462	18811
12	517	19392
13	568	19721
14	615	19891
15	664	20091
16	711	20203
17	758	20310
18	806	20418
19	854	20507
20	901	20570
21	948	20613
22	998	20708
23	1045	20729
24	1093	20779
25	1142	20828
26	1188	20824
27	1242	20944
28	1292	20991
29	1340	21006
30	1386	20983
31	1433	20960
32	1480	20947
33	1527	20929
34	1575	20931
35	1624	20933
36	1674	20952
37	1720	20923
38	1767	20891
39	1816	20884
40	1866	20895
41	1913	20863
42	1961	20851
43	2006	20797
44	2052	20749
45	2101	20736
46	2146	20693
47	2194	20664
48	2242	20639
49	2291	20619
50	2338	20591
51	2390	20596
52	2436	20551
53	2483	20511
54	2529	20468
55	2553	20244
56	2601	20220
57	2651	20206
58	2700	20183
59	2745	20137
60	2792	20094
61	2839	20057
62	2885	20015
63	2937	20012
64	2983	19967
65	3030	19926
66	3077	19889
67	3110	19762
68	3156	19716
69	3204	19682
70	3249	19637
71	3296	19596
72	3343	19556
73	3390	19517
74	3436	19475
75	3485	19443
76	3532	19406
77	3589	19421
78	3638	19391
79	3686	19353
80	3732	19309
81	3780	19269
82	3843	19312
83	3906	19348
84	3957	19323
85	4005	19280
86	4052	19238
87	4098	19189
88	4147	19151
89	4193	19105
90	4241	19061
91	4288	19019
92	4336	18978
93	4388	18954
94	4434	18905
95	4483	18866
96	4528	18816
97	4576	18772
98	4625	18735
99	4673	18694
100	4722	18657
101	4770	18615
102	4818	18571
103	4865	18526
104	4913	18485
105	4960	18438
106	5007	18392
107	5073	18416
108	5121	18371
109	5169	18327
110	5216	18281
111	5262	18232
112	5310	18188
113	5357	18140
114	5405	18096
115	5453	18054
116	5507	18028
117	5554	17982
118	5604	17944
119	5652	17901
120	5700	17854
121	5748	17809
122	5795	17762
123	5843	17720
124	5891	17674
125	5947	17654
126	6005	17639
127	6052	17588
128	6099	17542
129	6147	17495
130	6193	17445
131	6240	17397
132	6289	17355
133	6336	17306
134	6383	17258
135	6431	17214
136	6482	17176
137	6529	17127
138	6576	17081
139	6624	17033
140	6673	16991
141	6725	16956
142	6774	16912
143	6822	16867
144	6870	16821
145	6911	16758
146	6965	16725
147	7012	16678
148	7059	16629
149	7107	16583
150	7155	16538
151	7201	16488
152	7261	16468
153	7308	16421
154	7356	16375
155	7406	16331
156	7452	16281
157	7507	16251
158	7554	16201
159	7603	16157
160	7650	16109
161	7700	16065
162	7747	16017
163	7800	15981
164	7847	15933
165	7895	15886
166	7945	15843
167	7994	15797
168	8041	15750
169	8088	15701
170	8136	15653
171	8183	15605
172	8233	15562
173	8279	15511
174	8324	15459
175	8371	15411
176	8418	15362
177	8465	15314
178	8511	15264
179	8558	15214
180	8607	15170
181	8656	15124
182	8704	15077
183	8752	15030
184	8811	15002
185	8861	14959
186	8907	14909
187	8953	14858
188	9000	14809
189	9051	14768
190	9097	14717
191	9143	14667
192	9196	14628
193	9242	14578
194	9289	14530
195	9337	14483
196	9386	14437
197	9434	14389
198	9482	14343
199	9530	14296
200	9578	14248
201	9627	14203
202	9673	14153
203	9719	14102
204	9766	14054
205	9813	14005
206	9859	13956
207	9906	13906
208	9953	13858
209	9998	13807
210	10045	13759
211	10092	13710
212	10137	13659
213	10186	13614
214	10233	13565
215	10285	13523
216	10340	13485
217	10387	13437
218	10436	13390
219	10487	13347
220	10546	13314
